Hour,Temperature,Humidity,Wind_speed,Visibility,Dew_point,Solar_radiation,Rainfall,Day_of_week,Month,Is_holiday,Bike_rentals,High_demand
0,19.96714153011233,49,0.2183669942528482,687.5914718129441,-3.9633433514911136,56.60337209887204,0.3761130601525545,0,1,0,1381,0
1,13.617356988288154,94,1.0284200785166,3000.0,-1.038929572575368,110.2420737980706,1.0938559380540387,1,2,0,1443,0
2,21.476885381006923,91,2.6108242588209807,2265.5130474471052,5.257145175716487,56.109976547707355,1.8302678146060312,2,3,0,1675,1
3,30.230298564080254,22,3.0266278005811382,2074.4384019588456,-8.806168998500587,58.212079136092584,0.4468780921604757,3,4,0,1109,0
4,12.65846625276664,33,0.25162224955758117,2590.7838582095733,5.178713914548864,6.788062811871548,0.5566986995927202,4,5,0,1242,0
5,12.658630430508195,79,6.143863443161899e-05,3000.0,18.548377067309374,51.32344380644162,4.012826392886757,5,6,1,1256,0
6,30.792128155073915,96,2.4905415317052366,2435.3733222942014,6.211259124998221,144.75227113285715,1.5320904167182134,6,7,1,1451,1
7,22.674347291529088,64,0.8819654414957635,2474.40654823581,2.6585163281977846,246.71807324985525,2.2750101109298724,0,8,1,2119,1
8,10.305256140650478,53,0.587350207333354,2065.345012232191,0.05471641053098075,53.35777295081453,0.5776106141522704,1,9,0,1425,0
9,20.425600435859646,64,0.025962728569670773,1929.2371233165259,12.188093636412516,55.09288261220853,0.2666725971982917,2,10,0,2122,1
10,10.365823071875377,80,1.5543597713604989,1762.1022779975494,-1.6066621859043808,121.2768393439677,0.5307961563144362,3,11,0,1565,1
11,10.342702464297432,35,3.809642264502558,1586.944004142729,19.771167364793982,286.0712009191613,1.2591047475446147,4,12,0,1447,1
12,17.419622715660342,85,6.322707139547448,1656.4929501502513,20.46687798171486,31.069271866810354,0.11589402639882143,5,1,0,1894,1
13,-4.13280244657798,59,1.668246492189989,1324.7220178285083,7.054006389294301,58.00760400896539,0.3153535618358562,6,2,0,1362,0
14,-2.249178325130327,36,1.4449926798445516,1962.0642746574883,4.907879295386839,158.95041346811703,0.04775839211399909,0,3,0,1358,0
15,9.377124707590273,53,0.17778567818186025,1157.6662113868065,13.245278465932476,94.0823128820712,0.5662462631253812,1,4,0,1426,0
16,4.8716887966557625,35,1.5920118855067273,2095.458262071855,13.758388017818602,11.719284681153658,1.7570435179475317,2,5,1,1076,0
17,18.14247332595274,79,0.9560041158162004,1981.8346959788291,-1.4479338484753237,98.81432298830386,0.024972932381754333,3,6,0,1848,1
18,5.91975924478789,85,1.8685799050783294,2073.4676491933437,0.7875589349063841,20.671214505297865,1.1249260595578112,4,7,0,1600,1
19,0.8769629866470847,85,0.9844210885223578,1738.9342149900037,-5.578779477466364,71.37906667988838,2.6955665646563323,5,8,0,1373,0
20,29.65648768921554,32,0.5496610133267895,3000.0,8.272519506672456,75.31164609379286,0.27040270630995394,6,9,0,1010,0
21,12.742236995134643,75,0.1995639322098422,2680.0579500901567,10.333023067655127,208.91150776221275,1.1829775575277992,0,10,0,1047,0
22,15.67528204687924,50,0.756434777625117,1377.7287499576387,-5.799405102890184,62.081586603694696,3.6929638278318757,1,11,0,2100,1
23,0.7525181378654331,53,0.2032789707668261,2116.4340437134492,1.3584087614707272,32.77299531142403,3.2775133949799318,2,12,0,1150,0
0,9.556172754748173,58,0.3893477490157806,1695.9969285313382,-5.778031340650793,26.262054998666034,0.26778689130700195,3,1,1,1281,0
1,16.10922589709866,86,8.73800895711178,1492.7601366462932,-2.1903984819507007,207.34743940447538,0.10572842022871272,4,2,0,1467,1
2,3.4900642257769725,27,1.1743465110160978,1329.9639644380327,9.408136481810395,18.754821732005023,0.1605004243987078,5,3,0,839,0
3,18.75698018345672,97,1.5180260348042014,2216.108345379627,-0.8678565334262354,55.489692086786256,1.2107814925335931,6,4,1,1522,1
4,8.99361310081195,74,4.136900792250696,1659.309882465213,2.5933923517416106,20.723712559736033,1.2937475429877643,0,5,0,1465,1
5,12.083062502067232,46,10.838215058975361,2483.913012012602,-8.018493823578524,148.414554304067,1.121583810192477,1,6,0,1258,0
6,8.982933877706031,72,1.747969035560285,2496.8911072652195,6.495921677797314,64.31627583237325,0.40959119030327673,2,7,0,1332,0
7,33.522781845089376,58,3.347673644440077,2686.9571926057247,4.64581344124281,43.25439898064316,0.18606086701820382,3,8,0,1769,1
8,14.86502775262066,84,0.7918446443525972,1573.8066169629483,-0.8316740002652976,44.80067688860759,0.869314335282954,4,9,0,1471,1
9,4.422890710440996,36,0.7298288982403296,2237.682805346005,3.487885618540207,191.19913963530647,0.6610294140152899,5,10,0,1880,1
10,23.22544912103189,49,1.0306840179089842,2316.2271083211504,6.442359044027555,80.692962642024,1.3050246420613123,6,11,0,1557,1
11,2.7915635002897776,72,2.2325788005109386,1762.9109124480176,-1.518945191274753,126.53797047991063,0.5822501612964748,0,12,0,1481,1
12,17.088635950047554,32,2.292613748712872,1614.1140213035624,-6.810100352014235,227.34003048684647,0.4134564963928319,1,1,0,1792,1
13,-4.596701238797756,40,0.7573720829147271,2804.7603328879864,19.444595461494522,232.01553095888409,0.3474017551078008,2,2,0,859,0
14,1.7181395110156945,38,0.2859169171018889,2113.747937866027,-0.0661816376821811,39.82547468593614,0.23758523225986125,3,3,0,1064,0
15,16.968612358691235,72,2.0014994096702523,2317.983875355869,4.225919174504885,304.6000054936333,0.3089007735211861,4,4,1,1356,0
16,22.384665799954107,38,0.2746792401703987,1588.9619940860362,13.086717880162508,2.5190515588470093,0.09963299243871919,5,5,0,1945,1
17,16.713682811899705,76,1.727835455255585,1390.3577667389031,30.0,47.294484801801666,0.4259592011328803,6,6,0,2096,1
18,13.843517176117595,44,2.364566975087965,1715.2751127539448,-4.955891599110926,226.14321853164685,0.03725525079795899,0,7,0,1170,0
19,11.988963044107113,50,2.4120264116897925,1937.9893063050015,8.598617709812078,32.10828940888243,0.2063034540169178,1,8,0,1688,1
20,0.21478009632572537,74,2.800560301118025,1467.8899965913256,-0.6604182823528504,31.89408439305319,1.3734588681128126,2,9,0,1066,0
21,7.801557916052913,42,4.124923775796897,1995.0775956748084,0.6896775633863133,36.04280997706276,0.3937376276330676,3,10,0,911,0
22,10.393612290402125,51,1.3861303357053123,1155.74740596575,-0.7616961680543195,94.75579586229603,1.1033344715765487,4,11,0,1514,1
23,25.571222262189156,81,2.6205133406482215,1439.976288765064,-4.0052397424046795,57.68457318928007,1.2618991915606028,5,12,0,1197,0
0,18.436182895684613,93,1.9308187606479257,2335.4556241384375,4.669669105722709,129.7312659790339,0.8703268023463019,6,1,0,1638,1
1,-2.6304015536273404,29,0.4131627779968365,2301.895260138947,-6.796021496385885,225.2944267545875,3.1868380920213686,0,2,0,1047,0
2,18.24083969394795,91,0.052050772660004616,1804.0616173065669,12.574460532094964,112.14696642858321,0.02167303938236324,1,3,0,1414,0
3,11.149177195836835,73,0.6696630465509614,1491.1178454615235,5.440023488266997,22.87425970040285,1.3419049157844964,2,4,0,913,0
4,8.230779996940413,71,1.1705011099140665,1486.2982242369944,8.379479783211519,269.8326168533293,3.18899289895672,3,5,0,1376,0
5,21.11676288840868,39,1.9199938907486236,1813.365877029343,1.2704911044302167,30.719504945322846,1.9824725882410643,4,6,0,1563,1
6,25.309995224959508,51,3.7936977833126817,2322.259245822646,2.0623685263060136,16.239457879218335,0.18379387028174546,5,7,0,1222,0
7,24.312801191161988,33,0.4369233486150885,2464.1228456721624,7.300511241338625,9.427472282204203,0.3957429808930482,6,8,0,1703,1
8,6.607824767773614,69,0.26831984283982896,1751.7341322590155,-4.312405059246604,82.87005947584451,0.18928797387938998,0,9,0,1348,0
9,11.907876241487854,47,6.619787569969955,1423.253787007608,2.1360765246933133,12.0770263272078,0.9195670025291949,1,10,0,1708,1
10,18.31263431403564,72,0.22867820421549734,2133.921818933167,-1.8769081110276327,14.940051122797055,1.2454477271640711,2,11,0,1759,1
11,24.755451271223592,43,1.3020577624235352,1588.2325146870753,-2.1245504847281147,35.67184885946395,0.3813684330968233,3,12,0,2055,1
12,10.208257621547101,98,1.7616721296478828,1740.8736805693989,-11.878705925005132,33.08025532529356,0.7754566991417596,4,1,0,1462,1
13,13.143410233361829,41,1.5590422672726518,2662.6380452185185,15.714612715839998,92.69460747785855,1.1741569803315357,5,2,0,1145,0
14,3.936650259939718,49,0.1799197817926106,2413.5577142828843,-0.4923100252301511,169.6878178507223,0.5470398763136506,6,3,0,1302,0
15,3.037933759193292,82,0.11743507517392474,2078.987156125726,14.307008441308401,143.2755794939995,1.9242550359144055,0,4,1,1099,0
16,23.12525822394198,23,0.22294369810262302,1364.0404994436385,13.550338571154338,30.44681126397675,1.4764376277066114,1,5,1,2080,1
17,28.56240028570823,96,1.7617877361877665,2105.6982837353294,-5.287997652131949,28.144886993246292,0.06685110654369716,2,6,0,1848,1
18,14.27989878419666,78,1.57203817632581,2531.3286453937635,-3.7072898853827656,337.52820078846753,0.9705497330227039,3,7,1,1630,1
19,25.03532897892024,27,0.5324695497722591,1812.1831671172322,25.48402367484547,0.8270346824797074,0.2683050925407282,4,8,0,1650,1
20,18.61636025047634,31,2.030974688316776,2675.5570449933575,19.007407535417148,211.79373526991637,0.8153560914702718,5,9,0,1991,1
21,8.548802453948756,50,3.4303470196931367,2646.3726447591034,4.7478518933751666,22.280425778377634,3.1439641654514823,6,10,0,1248,0
22,18.613956055084138,97,0.08493619689286841,2831.8664160717367,7.058984851338796,294.28423930941494,2.1124772990408474,0,11,0,1976,1
23,30.380365664659692,53,1.378828088975233,2152.6215632656763,-0.04677122357750996,41.90174549525635,0.5183814356797272,1,12,0,767,0
0,14.641739608900485,94,2.3379219498019843,2293.695849903006,8.45882171360272,58.04468602994356,0.3446247801617627,2,1,0,1304,0
1,30.64643655814006,95,0.5815388055631174,2707.093644165545,-0.7374552057797716,122.79944064041923,0.26710294201712514,3,2,1,1115,0
2,-10.0,68,0.7356766328764053,2223.696968534488,-11.258830114387077,88.59289789606453,0.760387737725066,4,3,0,1550,1
3,23.21902504375224,98,1.901960548155598,1749.3829461048936,-5.572446292088408,38.263666572116534,0.12131878898694441,5,4,0,2023,1
4,15.870470682381713,76,4.564296577655907,1775.7285817360694,5.168741982804698,80.70572864030396,0.7968978995875936,6,5,0,1700,1
5,12.009926495341325,45,3.3206669960775943,2119.2774768868694,-4.048537884020702,131.19548434084876,0.0013345295793972716,0,6,0,1528,1
6,15.917607765355022,37,1.7499627639396607,1354.7192890268907,4.461780280691723,4.325719252461166,0.39133978795013885,1,7,0,2058,1
7,-4.875689146008927,57,2.6203096684257834,1928.3705423179038,-3.5972883154629045,1.1262489665389719,0.2483771498065021,2,8,0,1626,1
8,12.803281121624881,69,0.9077014893743982,2548.273559115127,-1.2588313800159483,61.261278899423885,3.548032533958601,3,9,1,2013,1
9,18.571125715117464,27,2.0486737461892894,904.3730744173595,11.825322451305535,14.137535369755241,1.2991714954352793,4,10,0,2063,1
10,29.77894044741516,60,1.2553991122923591,2767.2410508972575,6.979844381120837,109.16693213376045,0.43024979739815555,5,11,0,1171,0
