text,author,tags
The world as we have created it is a process of our thinking.,Albert Einstein,"change, deep-thoughts, thinking, world"
"It is our choices, Harry, that show what we truly are.",J.K. Rowling,"abilities, choices"
There are only two ways to live your life.,Albert Einstein,"inspirational, life, live, miracle, miracles"
"The person, be it gentleman or lady, who has not pleasure in a good novel.",Jane Austen,"aliteracy, books, classic, humor"
"Imperfection is beauty, madness is genius.",Marilyn Monroe,"be-yourself, inspirational"
Try not to become a man of success. Rather become a man of value.,Albert Einstein,"adulthood, success, value"
It is better to be hated for what you are than loved for what you are not.,Andre Gide,"life, love"
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison, failure, inspirational, paraphrased"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,misattributed-eleanor-roosevelt
"A day without sunshine is like, you know, night.",Steve Martin,"humor, obvious, simile"
This life is what you make it.,Marilyn Monroe,"friends, heartbreak, inspirational, life, love, sisters"
It takes a great deal of bravery to stand up to our enemies.,J.K. Rowling,"courage, friends"
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,"simplicity, understand"
"You may not be her first, her last, or her only.",Bob Marley,love
"I like nonsense, it wakes up the brain cells.",Dr. Seuss,fantasy
"I may not have gone where I intended to go, but I think I ended up where I needed to be.",Douglas Adams,"life, navigation"
"The opposite of love is not hate, it's indifference.",Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship, lack-of-friendship, love, marriage, unhappy-marriage"
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,"books, contentment, friends, friendship, life"
Life is what happens to us while we are making other plans.,Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans"
